epoch,date_completed,amount,note
1616487753,2021-03-23 03:22:33,0.05,computer go beep boop
1616487352,2021-03-23 03:15:52,80.0,Pretend this came on March 1
1613104649,2021-02-11 22:37:29,80.0,📱💸
1609825064,2021-01-04 23:37:44,80.0,🌮
1606903957,2020-12-02 04:12:37,80.0,Phone stuff
1604383636,2020-11-03 00:07:16,80.0,Telefono
1599195998,2020-09-04 00:06:38,53.0,:rocket_popsicle:
1598465042,2020-08-26 13:04:02,60.0,Phone
1593497404,2020-06-30 01:10:04,53.0,Phone
1590437669,2020-05-25 15:14:29,54.0,Phone stuff
1587415417,2020-04-20 15:43:37,60.0,Secret phone stuff
1583025147,2020-02-29 19:12:27,69.0,Phone 💵💵💸
